Tiempo,Valor del Sensor (ppm)
2023-11-24 04:55:32,360
2023-11-24 04:55:33,460
2023-11-24 04:55:34,512
2023-11-24 04:55:35,534
2023-11-24 04:55:36,524
2023-11-24 04:55:37,507
2023-11-24 04:55:38,504
2023-11-24 04:55:39,499
2023-11-24 04:55:40,472
2023-11-24 04:55:41,425
2023-11-24 04:55:42,391
2023-11-24 04:55:43,375
2023-11-24 04:55:44,365
2023-11-24 04:55:45,369
2023-11-24 04:55:46,369
2023-11-24 04:55:47,344
2023-11-24 04:55:48,303
2023-11-24 04:56:21,351
2023-11-24 04:56:22,465
2023-11-24 04:56:23,529
2023-11-24 04:56:24,538
2023-11-24 04:56:25,520
2023-11-24 04:56:26,482
2023-11-24 04:56:27,427
2023-11-24 04:56:28,370
2023-11-24 04:56:29,329
2023-11-24 04:56:30,301
2023-11-24 04:56:39,309
2023-11-24 04:56:40,314
2023-11-24 04:56:41,301
2023-11-24 04:56:51,325
2023-11-24 04:56:52,347
2023-11-24 04:56:53,355
2023-11-24 04:56:54,334
2023-11-24 04:57:00,313
2023-11-24 04:57:01,336
2023-11-24 04:57:02,351
2023-11-24 04:57:03,329
2023-11-24 04:57:14,301
2023-11-24 04:57:15,310
2023-11-24 04:57:16,308
2023-11-24 04:57:17,304
2023-11-24 04:57:18,304
